Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
coagulants,CA,373,464,144.217.85.60,60.ip-144-217-85.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.12 on Linux,0,0,2017-01-14,OVH - FR,16276,2100,None
collaborator,DE,373,992,188.194.60.30,ipbcc23c1e.dynamic.kabel-deutschland.de,65535,65534,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-06-14,KABELDEUTSCHLAND-AS - DE,31334,1300,None
eduncan911,US,373,431,173.50.175.90,pool-173-50-175-90.pghkny.fios.verizon.net,9501,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2016-12-29,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,2760,None
nytreska,CZ,373,2863,89.187.145.103,tor-exit.illusional.me,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on OpenBSD,0,0,2016-08-09,COOLHOUSING-AS Vinohradska 190- CZ,35592,1950,None
oxygenlap,BG,373,249,82.118.242.21,mail.kartica.rs,29860,26308,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-01-23,HISTATE - BG,206776,1430,None
K12,DE,374,974,149.172.149.170,HSI-KBW-149-172-149-170.hsi13.kabel-badenwuerttemberg.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on FreeBSD,0,0,2016-09-17,KABELBW-ASN - DE,29562,1490,None
poofeg,RU,374,210,213.109.56.200,poofeg.ls66.ru,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-02-23,KTEL-AS Ekaterinburg- Russia- RU,48642,2740,None
sdk,DE,374,386,5.9.74.59,proxy.midnight.coffee,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-01-09,HETZNER-AS - DE,24940,1720,None
ArikaYumemiya,US,375,1111,74.86.24.19,tsukasa.ctgameinfo.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on FreeBSD,0,0,2014-04-12,SOFTLAYER - SoftLayer Technologies Inc.- US,36351,2200,None
AsSeenOnYP,CA,375,47,64.137.195.214,64.137.195.214,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-01-14,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,1920,None
